,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
75,128,25,64,0.1,512,0.025,adam,45,0.05,0.4085,0.1621
609,256,50,8,0.5,512,0.001,adam,15,0.05,0.4082,0.1457
245,128,50,8,0.5,2048,0.001,sgd,15,0.05,0.4082,0.1376
575,256,25,128,0.5,2048,0.025,sgd,45,0.05,0.4059,0.203
243,128,50,8,0.5,2048,0.001,adam,45,0.05,0.4059,0.1234
607,256,50,8,0.1,2048,0.025,sgd,45,0.05,0.4057,0.1541
511,256,25,64,0.5,2048,0.025,sgd,45,0.05,0.4054,0.2006
655,256,50,64,0.1,512,0.025,sgd,45,0.05,0.4048,0.177
499,256,25,64,0.5,2048,0.001,adam,45,0.05,0.4041,0.2003
154,128,25,128,0.1,2048,0.025,adam,45,0.005,0.4039,0.1699
430,256,25,8,0.5,512,0.025,sgd,45,0.005,0.4031,0.1729
602,256,50,8,0.1,2048,0.025,adam,45,0.005,0.4023,0.1447
35,128,25,8,0.5,512,0.001,adam,45,0.05,0.4022,0.1839
211,128,50,8,0.1,2048,0.001,adam,45,0.05,0.4022,0.1639
447,256,25,8,0.5,2048,0.025,sgd,45,0.05,0.4021,0.1881
111,128,25,64,0.5,512,0.025,sgd,45,0.05,0.4015,0.1741
685,256,50,64,0.5,512,0.025,sgd,15,0.05,0.4014,0.1448
767,256,50,128,0.5,2048,0.025,sgd,45,0.05,0.4006,0.1327
34,128,25,8,0.5,512,0.001,adam,45,0.005,0.3992,0.1774
459,256,25,64,0.1,512,0.025,adam,45,0.05,0.3989,0.2288
26,128,25,8,0.1,2048,0.025,adam,45,0.005,0.3988,0.1572
