,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
166,512,75,64,0.5,512,0.005,adam,45,0.01,0.6036,0.1105
249,512,75,256,0.5,2048,0.05,sgd,40,0.05,0.6033,0.0995
219,512,75,256,0.1,2048,0.05,sgd,45,0.05,0.6028,0.1094
168,512,75,64,0.5,512,0.05,sgd,40,0.01,0.6028,0.1053
396,1024,75,64,0.1,512,0.05,adam,40,0.01,0.6023,0.1069
158,512,75,64,0.1,2048,0.05,adam,45,0.01,0.6023,0.0947
137,512,75,64,0.1,512,0.05,sgd,40,0.05,0.6021,0.1004
101,512,40,256,0.5,512,0.005,adam,40,0.05,0.6015,0.157
381,1024,40,256,0.5,2048,0.05,adam,40,0.05,0.6009,0.2309
134,512,75,64,0.1,512,0.005,adam,45,0.01,0.6006,0.1404
235,512,75,256,0.5,512,0.05,sgd,45,0.05,0.6003,0.101
470,1024,75,256,0.1,2048,0.005,adam,45,0.01,0.6001,0.1776
104,512,40,256,0.5,512,0.05,sgd,40,0.01,0.5997,0.1646
186,512,75,64,0.5,2048,0.05,sgd,45,0.01,0.5993,0.1054
202,512,75,256,0.1,512,0.05,sgd,45,0.01,0.599,0.1617
184,512,75,64,0.5,2048,0.05,sgd,40,0.01,0.599,0.0997
9,512,40,64,0.1,512,0.05,sgd,40,0.05,0.5989,0.2166
187,512,75,64,0.5,2048,0.05,sgd,45,0.05,0.5985,0.1122
460,1024,75,256,0.1,512,0.05,adam,40,0.01,0.598,0.1046
135,512,75,64,0.1,512,0.005,adam,45,0.05,0.5976,0.1082
222,512,75,256,0.1,2048,0.05,adam,45,0.01,0.5973,0.0932
326,1024,40,256,0.1,512,0.005,adam,45,0.01,0.5966,0.2065
476,1024,75,256,0.1,2048,0.05,adam,40,0.01,0.5965,0.0908
344,1024,40,256,0.1,2048,0.05,sgd,40,0.01,0.5956,0.2345
395,1024,75,64,0.1,512,0.05,sgd,45,0.05,0.5956,0.1221
229,512,75,256,0.5,512,0.005,adam,40,0.05,0.5954,0.0923
153,512,75,64,0.1,2048,0.05,sgd,40,0.05,0.5948,0.095
15,512,40,64,0.1,512,0.05,adam,45,0.05,0.5943,0.1872
43,512,40,64,0.5,512,0.05,sgd,45,0.05,0.5924,0.1592
425,1024,75,64,0.5,512,0.05,sgd,40,0.05,0.5923,0.0837
220,512,75,256,0.1,2048,0.05,adam,40,0.01,0.592,0.0875
181,512,75,64,0.5,2048,0.005,adam,40,0.05,0.5907,0.0899
25,512,40,64,0.1,2048,0.05,sgd,40,0.05,0.5902,0.1551
280,1024,40,64,0.1,2048,0.05,sgd,40,0.01,0.5896,0.2819
6,512,40,64,0.1,512,0.005,adam,45,0.01,0.5873,0.1773
201,512,75,256,0.1,512,0.05,sgd,40,0.05,0.5872,0.1014
231,512,75,256,0.5,512,0.005,adam,45,0.05,0.587,0.0966
108,512,40,256,0.5,512,0.05,adam,40,0.01,0.5864,0.1334
174,512,75,64,0.5,512,0.05,adam,45,0.01,0.5861,0.0903
367,1024,40,256,0.5,512,0.05,adam,45,0.05,0.5846,0.2147
444,1024,75,64,0.5,2048,0.05,adam,40,0.01,0.5842,0.0959
493,1024,75,256,0.5,512,0.05,adam,40,0.05,0.584,0.1155
358,1024,40,256,0.5,512,0.005,adam,45,0.01,0.5838,0.1966
78,512,40,256,0.1,512,0.05,adam,45,0.01,0.5836,0.1888
185,512,75,64,0.5,2048,0.05,sgd,40,0.05,0.582,0.0995
413,1024,75,64,0.1,2048,0.05,adam,40,0.05,0.5808,0.0944
505,1024,75,256,0.5,2048,0.05,sgd,40,0.05,0.5803,0.0926
317,1024,40,64,0.5,2048,0.05,adam,40,0.05,0.5795,0.1956
348,1024,40,256,0.1,2048,0.05,adam,40,0.01,0.5792,0.1387
203,512,75,256,0.1,512,0.05,sgd,45,0.05,0.5788,0.1047
340,1024,40,256,0.1,2048,0.005,adam,40,0.01,0.578,0.263
139,512,75,64,0.1,512,0.05,sgd,45,0.05,0.5775,0.0912
171,512,75,64,0.5,512,0.05,sgd,45,0.05,0.5756,0.1039
199,512,75,256,0.1,512,0.005,adam,45,0.05,0.5755,0.0895
328,1024,40,256,0.1,512,0.05,sgd,40,0.01,0.575,0.2523
217,512,75,256,0.1,2048,0.05,sgd,40,0.05,0.5747,0.1089
172,512,75,64,0.5,512,0.05,adam,40,0.01,0.5746,0.0915
197,512,75,256,0.1,512,0.005,adam,40,0.05,0.5744,0.0892
207,512,75,256,0.1,512,0.05,adam,45,0.05,0.5714,0.0938
409,1024,75,64,0.1,2048,0.05,sgd,40,0.05,0.5709,0.0787
198,512,75,256,0.1,512,0.005,adam,45,0.01,0.5678,0.131
94,512,40,256,0.1,2048,0.05,adam,45,0.01,0.567,0.1555
508,1024,75,256,0.5,2048,0.05,adam,40,0.01,0.5651,0.0779
393,1024,75,64,0.1,512,0.05,sgd,40,0.05,0.5638,0.0852
173,512,75,64,0.5,512,0.05,adam,40,0.05,0.5618,0.0887
335,1024,40,256,0.1,512,0.05,adam,45,0.05,0.5614,0.2912
332,1024,40,256,0.1,512,0.05,adam,40,0.01,0.5537,0.1281
77,512,40,256,0.1,512,0.05,adam,40,0.05,0.553,0.15
126,512,40,256,0.5,2048,0.05,adam,45,0.01,0.5497,0.1431
253,512,75,256,0.5,2048,0.05,adam,40,0.05,0.5461,0.0957
110,512,40,256,0.5,512,0.05,adam,45,0.01,0.5452,0.1449
190,512,75,64,0.5,2048,0.05,adam,45,0.01,0.5442,0.0756
221,512,75,256,0.1,2048,0.05,adam,40,0.05,0.5412,0.1072
45,512,40,64,0.5,512,0.05,adam,40,0.05,0.5373,0.1211
445,1024,75,64,0.5,2048,0.05,adam,40,0.05,0.5328,0.1087
492,1024,75,256,0.5,512,0.05,adam,40,0.01,0.5262,0.1055
239,512,75,256,0.5,512,0.05,adam,45,0.05,0.5241,0.204
111,512,40,256,0.5,512,0.05,adam,45,0.05,0.5169,0.1544
204,512,75,256,0.1,512,0.05,adam,40,0.01,0.5169,0.0933
462,1024,75,256,0.1,512,0.05,adam,45,0.01,0.5168,0.0804
95,512,40,256,0.1,2048,0.05,adam,45,0.05,0.5149,0.1879
285,1024,40,64,0.1,2048,0.05,adam,40,0.05,0.5096,0.1323
223,512,75,256,0.1,2048,0.05,adam,45,0.05,0.5094,0.0903
31,512,40,64,0.1,2048,0.05,adam,45,0.05,0.507,0.1684
447,1024,75,64,0.5,2048,0.05,adam,45,0.05,0.5058,0.0986
79,512,40,256,0.1,512,0.05,adam,45,0.05,0.5041,0.1689
157,512,75,64,0.1,2048,0.05,adam,40,0.05,0.5035,0.1458
44,512,40,64,0.5,512,0.05,adam,40,0.01,0.5009,0.1262
463,1024,75,256,0.1,512,0.05,adam,45,0.05,0.5006,0.0765
383,1024,40,256,0.5,2048,0.05,adam,45,0.05,0.5,0.223
511,1024,75,256,0.5,2048,0.05,adam,45,0.05,0.4968,0.0676
510,1024,75,256,0.5,2048,0.05,adam,45,0.01,0.4926,0.0871
366,1024,40,256,0.5,512,0.05,adam,45,0.01,0.4923,0.1434
125,512,40,256,0.5,2048,0.05,adam,40,0.05,0.4894,0.1474
61,512,40,64,0.5,2048,0.05,adam,40,0.05,0.4852,0.1391
237,512,75,256,0.5,512,0.05,adam,40,0.05,0.4809,0.1036
189,512,75,64,0.5,2048,0.05,adam,40,0.05,0.479,0.11
188,512,75,64,0.5,2048,0.05,adam,40,0.01,0.4784,0.087
76,512,40,256,0.1,512,0.05,adam,40,0.01,0.4775,0.1307
63,512,40,64,0.5,2048,0.05,adam,45,0.05,0.4769,0.2152
175,512,75,64,0.5,512,0.05,adam,45,0.05,0.4705,0.1109
47,512,40,64,0.5,512,0.05,adam,45,0.05,0.4682,0.1204
479,1024,75,256,0.1,2048,0.05,adam,45,0.05,0.4646,0.0941
